"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.359054450E-1,-5.767050266E0,6.883950233E0,-3.376050234E0
2.384392120E-1,-5.808000088E0,6.915000439E0,-3.376050234E0
2.409728290E-1,-5.904000282E0,6.964950562E0,-3.369000196E0
2.435063490E-1,-6.022950172E0,7.003950119E0,-3.337050200E0
2.460401930E-1,-6.033000469E0,7.023000240E0,-3.361050129E0
2.485739620E-1,-6.040050507E0,7.030050278E0,-3.321000099E0
2.511075030E-1,-6.058950424E0,7.018050194E0,-3.304050207E0
2.536411130E-1,-6.090000153E0,7.059000492E0,-3.337050200E0
2.561748800E-1,-6.166950226E0,7.021050453E0,-3.388050079E0
2.587084980E-1,-6.154950142E0,7.009050369E0,-3.436050177E0
2.612422650E-1,-6.061950207E0,7.006050110E0,-3.493050098E0
2.637759010E-1,-5.956050396E0,6.931950092E0,-3.433050156E0
2.663094400E-1,-5.884050369E0,6.889050484E0,-3.438000202E0
2.688432070E-1,-5.851050377E0,6.870000362E0,-3.450000048E0
2.713770530E-1,-5.865000248E0,6.865050316E0,-3.438000202E0
2.739106130E-1,-5.935050488E0,6.826950550E0,-3.400050163E0
2.764442280E-1,-6.004050255E0,6.877050400E0,-3.388050079E0
2.789779950E-1,-6.004050255E0,6.886050224E0,-3.433050156E0
2.815116130E-1,-5.940000057E0,6.906000137E0,-3.415950060E0
2.840453710E-1,-5.839050293E0,6.903000355E0,-3.421050072E0
2.865789880E-1,-5.767050266E0,6.907950401E0,-3.474000216E0
2.891125270E-1,-5.674050331E0,6.871950150E0,-3.450000048E0
2.916462940E-1,-5.566050053E0,6.846000195E0,-3.498000145E0
2.941801540E-1,-5.604000092E0,6.841050148E0,-3.474000216E0
2.967136950E-1,-5.704950333E0,6.831000328E0,-3.378000259E0
2.992473100E-1,-5.761950493E0,6.858000278E0,-3.309000254E0
3.017810770E-1,-5.848950386E0,6.867000103E0,-3.270000219E0
3.043146760E-1,-5.916000366E0,6.891000271E0,-3.250950098E0
3.068484430E-1,-5.925000191E0,6.874050140E0,-3.196050167E0
3.093819830E-1,-5.899050236E0,6.931950092E0,-3.148050070E0
3.119155970E-1,-5.916000366E0,6.913050175E0,-3.069000244E0
3.144493610E-1,-5.916000366E0,6.910050392E0,-3.061950207E0
3.169829780E-1,-5.949000359E0,6.951000214E0,-3.093000174E0
3.195167460E-1,-5.947050095E0,6.943950176E0,-3.081000090E0
3.220503630E-1,-5.980050087E0,6.964950562E0,-3.081000090E0
3.245841350E-1,-6.009000301E0,6.931950092E0,-3.103050232E0
3.271176760E-1,-6.046950340E0,6.940950394E0,-3.079050064E0
3.296515200E-1,-6.076050282E0,6.988950253E0,-3.091050148E0
3.321850600E-1,-6.040050507E0,6.999000549E0,-3.040050030E0
3.347186560E-1,-6.009000301E0,6.994050503E0,-3.052050114E0
3.372524230E-1,-6.046950340E0,6.975000381E0,-3.093000174E0
3.397860400E-1,-6.106950283E0,6.994050503E0,-3.160050154E0
3.423198080E-1,-6.138000488E0,6.991950512E0,-3.172050238E0
3.448534250E-1,-6.142950058E0,6.979950428E0,-3.172050238E0
3.473869640E-1,-6.150000095E0,6.982050419E0,-3.160050154E0
3.499208080E-1,-6.094950199E0,6.955950260E0,-3.160050154E0
3.524545770E-1,-6.100050449E0,6.925050259E0,-3.121950150E0
3.549881370E-1,-6.031050205E0,6.919950485E0,-3.085950136E0
3.575217530E-1,-5.971050262E0,6.934050560E0,-3.100050211E0
3.600555200E-1,-5.937000275E0,6.903000355E0,-3.100050211E0
3.625891370E-1,-5.923050404E0,6.859950542E0,-3.091050148E0
3.651229140E-1,-5.913000107E0,6.853050232E0,-3.052050114E0
3.676565310E-1,-5.863050461E0,6.826950550E0,-3.091050148E0
3.701900700E-1,-5.833950043E0,6.814950466E0,-3.067050219E0
3.727238370E-1,-5.877000332E0,6.835950375E0,-3.069000244E0
3.752576740E-1,-5.881950378E0,6.823950291E0,-3.064050198E0
3.777912140E-1,-5.841000080E0,6.811950207E0,-3.072000027E0
3.803248300E-1,-5.808000088E0,6.829050541E0,-3.117000103E0
3.828585970E-1,-5.808000088E0,6.769050121E0,-3.109950066E0
3.853922140E-1,-5.707050323E0,6.745050430E0,-3.072000027E0
3.879259820E-1,-5.664000034E0,6.751950264E0,-3.076050043E0
3.904595990E-1,-5.631000042E0,6.751950264E0,-3.060000181E0
3.929933660E-1,-5.595000267E0,6.786000252E0,-3.052050114E0
3.955269020E-1,-5.560950279E0,6.838950157E0,-3.037950039E0
3.980605150E-1,-5.554050446E0,6.858000278E0,-3.001950026E0
4.005942840E-1,-5.508000374E0,6.889050484E0,-2.940000057E0
