"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.181697330E-1,8.799999952E-3,2.502499893E-2,4.743750021E-2
2.207035010E-1,1.099999994E-2,1.856249943E-2,4.427500069E-2
2.232371320E-1,1.209999993E-2,1.966249943E-2,4.427500069E-2
2.257708990E-1,1.306249946E-2,1.966249943E-2,4.537500069E-2
2.283044400E-1,1.306249946E-2,1.856249943E-2,4.317500070E-2
2.308380530E-1,8.799999952E-3,1.856249943E-2,3.575000167E-2
2.333718270E-1,8.799999952E-3,2.708750032E-2,3.038750030E-2
2.359054450E-1,7.837500423E-3,3.135000169E-2,2.722499892E-2
2.384392120E-1,9.899999946E-3,3.451250121E-2,2.186249942E-2
2.409728290E-1,8.799999952E-3,3.877500072E-2,1.773750037E-2
2.435063490E-1,6.737499963E-3,3.987500072E-2,1.663750038E-2
2.460401930E-1,6.737499963E-3,3.561250120E-2,1.773750037E-2
2.485739620E-1,2.474999987E-3,2.928750031E-2,2.089999989E-2
2.511075030E-1,2.749999985E-4,2.282499894E-2,2.296249941E-2
2.536411130E-1,1.374999993E-3,1.856249943E-2,2.406249940E-2
2.561748800E-1,4.537499975E-3,1.429999992E-2,3.038750030E-2
2.587084980E-1,2.749999985E-4,8.937500417E-3,3.684999794E-2
2.612422650E-1,-2.887499984E-3,4.812499974E-3,4.221250117E-2
2.637759010E-1,-7.149999961E-3,-4.812499974E-3,4.537500069E-2
2.663094400E-1,-1.031249948E-2,-9.074999951E-3,4.537500069E-2
2.688432070E-1,-1.031249948E-2,-1.223750040E-2,4.001250118E-2
2.713770530E-1,-1.141249947E-2,-1.649999991E-2,3.575000167E-2
2.739106130E-1,-1.031249948E-2,-1.759999990E-2,3.368749842E-2
2.764442280E-1,-1.141249947E-2,-1.869999990E-2,3.148749843E-2
2.789779950E-1,-1.237499993E-2,-2.392499894E-2,3.038750030E-2
2.815116130E-1,-1.141249947E-2,-3.244999796E-2,3.575000167E-2
2.840453710E-1,-1.347499993E-2,-4.097500071E-2,3.575000167E-2
2.865789880E-1,-1.883750036E-2,-4.523750022E-2,3.464999795E-2
2.891125270E-1,-1.993750036E-2,-4.523750022E-2,2.612499893E-2
2.916462940E-1,-2.309999987E-2,-4.427500069E-2,1.443750039E-2
2.941801540E-1,-2.516249940E-2,-3.671250120E-2,2.749999985E-3
2.967136950E-1,-2.626249939E-2,-3.244999796E-2,-1.003750041E-2
2.992473100E-1,-2.626249939E-2,-2.928750031E-2,-2.172499895E-2
3.017810770E-1,-2.199999988E-2,-2.612499893E-2,-2.804999985E-2
3.043146760E-1,-2.199999988E-2,-2.612499893E-2,-3.547500074E-2
3.068484430E-1,-1.883750036E-2,-2.928750031E-2,-4.083750024E-2
3.093819830E-1,-1.457499992E-2,-3.575000167E-2,-4.303750023E-2
3.119155970E-1,-9.212499484E-3,-4.001250118E-2,-4.303750023E-2
3.144493610E-1,-4.949999973E-3,-4.317500070E-2,-4.399999976E-2
3.169829780E-1,1.374999993E-3,-4.523750022E-2,-4.399999976E-2
3.195167460E-1,6.737499963E-3,-4.427500069E-2,-4.509999976E-2
3.220503630E-1,1.306249946E-2,-4.097500071E-2,-4.509999976E-2
3.245841350E-1,2.158750035E-2,-3.671250120E-2,-4.399999976E-2
3.271176760E-1,2.584999986E-2,-3.781250119E-2,-4.399999976E-2
3.296515200E-1,3.121249937E-2,-3.781250119E-2,-4.509999976E-2
3.321850600E-1,3.657500073E-2,-3.671250120E-2,-4.399999976E-2
3.347186560E-1,4.289999977E-2,-3.891250119E-2,-4.193750024E-2
3.372524230E-1,4.716249928E-2,-3.781250119E-2,-4.509999976E-2
3.397860400E-1,5.348749831E-2,-3.355000168E-2,-4.399999976E-2
3.423198080E-1,5.678749830E-2,-3.781250119E-2,-4.193750024E-2
3.448534250E-1,5.995000154E-2,-3.671250120E-2,-3.657500073E-2
3.473869640E-1,6.104999781E-2,-3.355000168E-2,-2.914999984E-2
3.499208080E-1,6.201250106E-2,-3.244999796E-2,-2.488750033E-2
3.524545770E-1,6.531249732E-2,-3.148749843E-2,-2.062499896E-2
3.549881370E-1,7.273750007E-2,-2.818750031E-2,-1.746249944E-2
3.575217530E-1,7.699999958E-2,-2.612499893E-2,-1.099999994E-2
3.600555200E-1,8.016250283E-2,-2.502499893E-2,-1.099999994E-2
3.625891370E-1,8.552499861E-2,-2.296249941E-2,-1.003750041E-2
3.651229140E-1,8.758749813E-2,-2.296249941E-2,-7.837500423E-3
3.676565310E-1,9.295000136E-2,-2.076249942E-2,-4.674999975E-3
3.701900700E-1,9.927500039E-2,-2.186249942E-2,-4.124999978E-4
3.727238370E-1,1.024374962E-1,-2.076249942E-2,-2.612499986E-3
3.752576740E-1,1.035374999E-1,-1.443750039E-2,-1.512499992E-3
3.777912140E-1,1.109625027E-1,-7.974999957E-3,1.649999991E-3
3.803248300E-1,1.131625026E-1,-4.812499974E-3,1.649999991E-3
3.828585970E-1,1.131625026E-1,-2.749999985E-3,-4.124999978E-4
3.853922140E-1,1.131625026E-1,4.812499974E-3,-2.612499986E-3
3.879259820E-1,1.174250022E-1,7.974999957E-3,-3.574999981E-3
3.904595990E-1,1.216875017E-1,1.319999993E-2,-1.003750041E-2
3.929933660E-1,1.226499975E-1,2.076249942E-2,-1.636249945E-2
3.955269020E-1,1.291124970E-1,2.392499894E-2,-1.856249943E-2
3.980605150E-1,1.344749928E-1,2.818750031E-2,-2.378750034E-2
4.005942840E-1,1.407999992E-1,3.135000169E-2,-2.914999984E-2
4.031279020E-1,1.513874978E-1,4.097500071E-2,-3.547500074E-2
4.056616830E-1,1.641750038E-1,5.266249925E-2,-4.729999974E-2
4.081953000E-1,1.748999953E-1,6.215000153E-2,-5.898749828E-2
4.107290680E-1,1.919499934E-1,7.177499682E-2,-7.603749633E-2
4.132626850E-1,2.099625021E-1,8.456250280E-2,-9.198749810E-2
4.157962370E-1,2.270125002E-1,1.005124971E-1,-1.142624989E-1
4.183300050E-1,2.472250015E-1,1.132999957E-1,-1.344749928E-1
4.208636220E-1,2.739000022E-1,1.355749965E-1,-1.600500047E-1
4.233973890E-1,2.983750105E-1,1.526249945E-1,-1.887875050E-1
4.259309930E-1,3.195500076E-1,1.676124930E-1,-2.100999951E-1
4.284647600E-1,3.430624902E-1,1.856250018E-1,-2.377374917E-1
4.309983510E-1,3.621749878E-1,1.984124929E-1,-2.644124925E-1
4.335319960E-1,3.781250119E-1,1.995124966E-1,-2.888875008E-1
4.361413460E-1,3.887124956E-1,1.952500045E-1,-3.111625016E-1
4.385992710E-1,4.046624899E-1,1.952500045E-1,-3.260124922E-1
4.411330390E-1,4.153875113E-1,1.930499971E-1,-3.398999870E-1
4.436666540E-1,4.334000051E-1,1.941500008E-1,-3.495250046E-1
4.462004280E-1,4.494875073E-1,1.952500045E-1,-3.547500074E-1
4.487340440E-1,4.611749947E-1,1.930499971E-1,-3.612124920E-1
4.512678130E-1,4.728625119E-1,1.952500045E-1,-3.612124920E-1
4.538014280E-1,4.771249890E-1,1.887875050E-1,-3.580499887E-1
4.563349690E-1,4.877125025E-1,1.835625023E-1,-3.473249972E-1
4.588688130E-1,4.941749871E-1,1.792999953E-1,-3.378374875E-1
4.614023530E-1,4.993999898E-1,1.685750037E-1,-3.302749991E-1
4.639361210E-1,5.101249814E-1,1.516624987E-1,-3.302749991E-1
4.664697380E-1,5.153499842E-1,1.494625062E-1,-3.282124996E-1
4.690035050E-1,5.229125023E-1,1.505624950E-1,-3.250499964E-1
4.715371230E-1,5.335000157E-1,1.463000029E-1,-3.260124922E-1
4.740708900E-1,5.451874733E-1,1.473999918E-1,-3.271124959E-1
4.766044870E-1,5.622375011E-1,1.516624987E-1,-3.356375098E-1
4.791380260E-1,5.792874694E-1,1.505624950E-1,-3.473249972E-1
4.816718700E-1,5.963374972E-1,1.505624950E-1,-3.612124920E-1
4.842054100E-1,6.100875139E-1,1.440999955E-1,-3.760625124E-1
4.867391580E-1,6.293374896E-1,1.388749927E-1,-3.877499998E-1
4.892727750E-1,6.495500207E-1,1.463000029E-1,-4.027374983E-1
4.918065420E-1,6.612374783E-1,1.526249945E-1,-4.164874852E-1
4.943401600E-1,6.749874949E-1,1.590874940E-1,-4.281750023E-1
4.968739230E-1,6.909375191E-1,1.728374958E-1,-4.409624934E-1
4.994074630E-1,7.059249878E-1,1.973125041E-1,-4.591124952E-1
5.019410770E-1,7.144500017E-1,2.271499932E-1,-4.856500030E-1
5.044748460E-1,7.207750082E-1,2.644124925E-1,-5.260750055E-1
5.070084770E-1,7.154124975E-1,3.196874857E-1,-5.846499801E-1
5.095422450E-1,6.973999739E-1,3.878875077E-1,-6.645374894E-1
5.120758620E-1,6.760874987E-1,4.496249855E-1,-7.422249913E-1
5.146094000E-1,6.654999852E-1,4.932124913E-1,-8.028625250E-1
5.171432160E-1,6.590374708E-1,5.156250000E-1,-8.305000067E-1
5.196769850E-1,6.612374783E-1,5.282750130E-1,-8.230749965E-1
5.222105250E-1,6.697624922E-1,5.453249812E-1,-7.752249837E-1
5.247441410E-1,6.814500093E-1,5.570124984E-1,-6.910749674E-1
5.272779760E-1,6.984999776E-1,5.730999708E-1,-5.878124833E-1
5.298115160E-1,7.250375152E-1,5.805249810E-1,-4.793249965E-1
5.323452840E-1,7.580375075E-1,5.805249810E-1,-3.760625124E-1
5.348789010E-1,7.942000031E-1,5.730999708E-1,-2.983750105E-1
5.374126440E-1,8.325625062E-1,5.570124984E-1,-2.462625057E-1
5.399462620E-1,8.718875051E-1,5.282750130E-1,-2.228875011E-1
5.424800290E-1,9.006249905E-1,4.889499843E-1,-2.260500044E-1
5.450135690E-1,9.197375178E-1,4.485250115E-1,-2.483250052E-1
5.475471830E-1,9.261999726E-1,4.166249931E-1,-2.803624868E-1
5.500809520E-1,9.197375178E-1,3.878875077E-1,-3.111625016E-1
5.526145690E-1,9.059875011E-1,3.665750027E-1,-3.378374875E-1
5.551483370E-1,8.835750222E-1,3.559874892E-1,-3.623124957E-1
5.576819630E-1,8.538749814E-1,3.548874855E-1,-3.760625124E-1
