"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.339535160E-1,-3.493950129E0,8.374050140E0,-3.523950100E0
2.364872830E-1,-3.535050154E0,8.447999954E0,-3.469050169E0
2.390209010E-1,-3.568050146E0,8.464950562E0,-3.376050234E0
2.415546630E-1,-3.592050076E0,8.493000031E0,-3.433050156E0
2.440882800E-1,-3.609000206E0,8.497950554E0,-3.466950178E0
2.466218190E-1,-3.649950266E0,8.449950218E0,-3.481050253E0
2.491555860E-1,-3.655050278E0,8.379000664E0,-3.469050169E0
2.516892030E-1,-3.697950125E0,8.335050583E0,-3.511950254E0
2.542229710E-1,-3.717000246E0,8.282999992E0,-3.507000208E0
2.567568170E-1,-3.762000084E0,8.287050247E0,-3.555000067E0
2.592903570E-1,-3.762000084E0,8.299050331E0,-3.531000137E0
2.618239880E-1,-3.705000162E0,8.302050591E0,-3.535950184E0
2.643577550E-1,-3.685950279E0,8.290050507E0,-3.496050119E0
2.668913720E-1,-3.636000156E0,8.275950432E0,-3.531000137E0
2.694251390E-1,-3.609000206E0,8.271000862E0,-3.514950275E0
2.719587520E-1,-3.577950239E0,8.266050339E0,-3.472050190E0
2.744925190E-1,-3.573000193E0,8.282999992E0,-3.487950087E0
2.770260600E-1,-3.552000284E0,8.275950432E0,-3.478950262E0
2.795596730E-1,-3.576000214E0,8.278050423E0,-3.505050182E0
2.820934230E-1,-3.604050159E0,8.278050423E0,-3.499950171E0
2.846272690E-1,-3.661950111E0,8.188950539E0,-3.519000053E0
2.871608100E-1,-3.673950195E0,8.182050705E0,-3.526950121E0
2.896944250E-1,-3.669000149E0,8.215950012E0,-3.463950157E0
2.922281720E-1,-3.664050102E0,8.206049919E0,-3.496050119E0
2.947617900E-1,-3.624000072E0,8.206049919E0,-3.438000202E0
2.972955570E-1,-3.658950090E0,8.239950180E0,-3.439950228E0
2.998291740E-1,-3.631050110E0,8.251950264E0,-3.433050156E0
3.023629570E-1,-3.625950098E0,8.259000778E0,-3.415950060E0
3.048965740E-1,-3.628050089E0,8.211000443E0,-3.414000273E0
