"event","experiment time","system time","system time text"
"START",0.000000000E0,1698146155.541,"2023-10-24 16:45:55.541 UTC+05:30"
"PAUSE",1.596029725E2,1698146315.144,"2023-10-24 16:48:35.144 UTC+05:30"
