"event","experiment time","system time","system time text"
"START",0.000000000E0,1698147547.785,"2023-10-24 17:09:07.785 UTC+05:30"
"PAUSE",1.341862975E2,1698147681.971,"2023-10-24 17:11:21.971 UTC+05:30"
