"event","experiment time","system time","system time text"
"START",0.000000000E0,1698147279.520,"2023-10-24 17:04:39.520 UTC+05:30"
"PAUSE",1.222691482E2,1698147401.789,"2023-10-24 17:06:41.789 UTC+05:30"
