"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.193861480E-1,1.237499993E-3,-1.237499993E-2,3.368749842E-2
2.219196840E-1,1.237499993E-3,-1.127499994E-2,3.698749840E-2
2.244532980E-1,1.237499993E-3,-1.237499993E-2,3.698749840E-2
2.269868380E-1,1.237499993E-3,-1.347499993E-2,3.368749842E-2
2.295206830E-1,1.374999993E-4,-1.553750038E-2,3.698749840E-2
2.320542230E-1,1.237499993E-3,-1.663750038E-2,3.795000166E-2
2.345879940E-1,1.374999993E-4,-1.869999990E-2,3.904999793E-2
2.371215350E-1,-1.924999990E-3,-2.089999989E-2,3.904999793E-2
2.396551480E-1,-4.124999978E-3,-2.296249941E-2,3.478749841E-2
2.421886890E-1,-4.124999978E-3,-2.296249941E-2,3.588749841E-2
2.447224560E-1,-1.924999990E-3,-2.296249941E-2,3.904999793E-2
2.472560730E-1,-3.024999984E-3,-1.869999990E-2,4.015000165E-2
2.497896120E-1,-4.124999978E-3,-1.773750037E-2,4.124999791E-2
2.523233790E-1,-8.249999955E-4,-1.663750038E-2,4.221250117E-2
2.548569960E-1,2.337499987E-3,-1.773750037E-2,4.551250115E-2
2.573907630E-1,2.337499987E-3,-1.663750038E-2,4.551250115E-2
2.599243040E-1,1.374999993E-4,-1.553750038E-2,4.757500067E-2
2.624579170E-1,3.437499981E-3,-1.663750038E-2,5.073750019E-2
2.649914530E-1,3.437499981E-3,-1.553750038E-2,5.183750018E-2
2.675252200E-1,-8.249999955E-4,-1.663750038E-2,5.183750018E-2
2.700588370E-1,3.437499981E-3,-1.773750037E-2,5.183750018E-2
2.725923760E-1,5.499999970E-3,-1.663750038E-2,5.293750018E-2
2.751261480E-1,4.399999976E-3,-1.773750037E-2,5.293750018E-2
2.776596890E-1,6.599999964E-3,-1.869999990E-2,5.293750018E-2
2.801933020E-1,3.437499981E-3,-1.979999989E-2,5.389999971E-2
2.827268420E-1,3.437499981E-3,-2.199999988E-2,5.816249922E-2
2.852606970E-1,1.374999993E-4,-2.296249941E-2,5.926249921E-2
2.877942370E-1,-4.124999978E-3,-2.626249939E-2,5.719999969E-2
2.903280040E-1,-5.087499972E-3,-2.722499892E-2,5.816249922E-2
2.928615450E-1,-1.924999990E-3,-2.722499892E-2,5.499999970E-2
2.953951630E-1,-5.087499972E-3,-2.722499892E-2,5.389999971E-2
2.979289320E-1,-3.024999984E-3,-3.148749843E-2,5.499999970E-2
3.004625450E-1,-1.924999990E-3,-3.038750030E-2,5.073750019E-2
3.029961820E-1,-3.024999984E-3,-2.722499892E-2,4.963750020E-2
3.055330090E-1,-4.124999978E-3,-2.722499892E-2,4.331250116E-2
3.080634290E-1,-1.924999990E-3,-2.942499891E-2,4.221250117E-2
3.105970420E-1,-1.924999990E-3,-3.258749843E-2,4.221250117E-2
3.131305810E-1,-3.024999984E-3,-3.258749843E-2,3.698749840E-2
3.156643500E-1,-6.187499966E-3,-3.148749843E-2,3.272499889E-2
3.181979620E-1,-5.087499972E-3,-3.258749843E-2,3.272499889E-2
3.207315010E-1,-5.087499972E-3,-2.832499892E-2,2.846249938E-2
3.232652680E-1,-7.287499961E-3,-3.148749843E-2,2.199999988E-2
3.257988860E-1,-5.087499972E-3,-3.464999795E-2,2.309999987E-2
3.283324440E-1,-4.124999978E-3,-3.258749843E-2,2.103750035E-2
3.308662110E-1,-3.024999984E-3,-3.038750030E-2,1.993750036E-2
3.333998290E-1,-8.249999955E-4,-3.038750030E-2,1.677500084E-2
3.359333670E-1,4.399999976E-3,-3.148749843E-2,1.677500084E-2
3.384671620E-1,4.399999976E-3,-3.038750030E-2,1.347499993E-2
3.410007800E-1,9.762499481E-3,-2.832499892E-2,1.251249947E-2
3.435343180E-1,1.182499994E-2,-2.722499892E-2,1.567500085E-2
3.460680850E-1,1.512499992E-2,-2.832499892E-2,1.457499992E-2
3.486016310E-1,2.034999989E-2,-2.832499892E-2,1.251249947E-2
3.511352440E-1,2.364999987E-2,-3.038750030E-2,9.212499484E-3
3.536690140E-1,2.461249940E-2,-3.464999795E-2,7.149999961E-3
3.562025540E-1,2.887500077E-2,-4.221250117E-2,7.149999961E-3
3.587361570E-1,2.887500077E-2,-5.073750019E-2,8.249999955E-3
3.612696980E-1,2.791249938E-2,-5.816249922E-2,4.949999973E-3
3.638034650E-1,3.107500076E-2,-6.764999777E-2,1.787499990E-3
3.663370830E-1,3.313750029E-2,-7.411249727E-2,6.874999963E-4
3.688708550E-1,3.423750028E-2,-8.153750002E-2,6.874999963E-4
3.714043950E-1,3.533750027E-2,-9.006249905E-2,6.874999963E-4
3.739380090E-1,3.959999979E-2,-9.542500228E-2,-2.749999985E-4
3.764715490E-1,4.482499883E-2,-1.039500013E-1,6.874999963E-4
3.790053210E-1,4.482499883E-2,-1.113749966E-1,1.787499990E-3
3.815389390E-1,4.702499881E-2,-1.187999994E-1,1.787499990E-3
3.840724770E-1,5.018749833E-2,-1.241625026E-1,1.787499990E-3
3.866062440E-1,5.018749833E-2,-1.273249984E-1,6.049999967E-3
3.891397800E-1,5.238749832E-2,-1.304875016E-1,7.149999961E-3
3.916736240E-1,5.335000157E-2,-1.336500049E-1,4.949999973E-3
