"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.128904710E-1,-9.373950005E0,1.299000025E0,1.660050035E0
2.154240880E-1,-9.469950676E0,1.344000101E0,1.689000130E0
2.179576270E-1,-9.475050926E0,1.356000066E0,1.746000051E0
2.204913790E-1,-9.514950752E0,1.347000122E0,1.789050102E0
2.230249960E-1,-9.541950226E0,1.375050068E0,1.798950076E0
2.255587640E-1,-9.601950645E0,1.407000065E0,1.801050067E0
2.280923810E-1,-9.616050720E0,1.402050018E0,1.825050116E0
2.306259240E-1,-9.642000198E0,1.399050117E0,1.794000030E0
2.331596920E-1,-9.700050354E0,1.444950104E0,1.854000092E0
2.356933090E-1,-9.772050858E0,1.444950104E0,1.915950060E0
2.382268480E-1,-9.835950851E0,1.453950047E0,1.938000083E0
2.407606300E-1,-9.906000137E0,1.440000057E0,1.909050107E0
2.432942470E-1,-9.937050819E0,1.435050011E0,1.902000070E0
2.458277860E-1,-9.991950035E0,1.416000009E0,1.855950117E0
2.483616300E-1,-1.007295036E1,1.396950126E0,1.831950068E0
2.508951800E-1,-1.010400009E1,1.348950028E0,1.854000092E0
2.534289470E-1,-1.007295036E1,1.323000073E0,1.831950068E0
2.559625650E-1,-1.008300018E1,1.342050076E0,1.849050045E0
2.584961030E-1,-1.010400009E1,1.339950085E0,1.846950054E0
2.610298760E-1,-1.005405045E1,1.327950120E0,1.897050142E0
2.635634930E-1,-9.975000381E0,1.348950028E0,1.861050129E0
2.660970310E-1,-9.949050903E0,1.342050076E0,1.806000113E0
2.686307990E-1,-9.891000748E0,1.347000122E0,1.725000024E0
2.711644010E-1,-9.831000328E0,1.342050076E0,1.732050061E0
2.736979400E-1,-9.787950516E0,1.315950036E0,1.693050027E0
2.762317070E-1,-9.762000084E0,1.315950036E0,1.750950098E0
2.787653240E-1,-9.763950348E0,1.335000038E0,1.758000135E0
2.812990770E-1,-9.810000420E0,1.375050068E0,1.792050123E0
2.838326950E-1,-9.802950859E0,1.344000101E0,1.785000086E0
2.863662330E-1,-9.802950859E0,1.378050089E0,1.804050088E0
2.889000010E-1,-9.819000244E0,1.366050124E0,1.846950054E0
2.914336280E-1,-9.805050850E0,1.366050124E0,1.866000056E0
2.939673950E-1,-9.769050598E0,1.351950049E0,1.861050129E0
2.965009360E-1,-9.718950272E0,1.428000093E0,1.855950117E0
2.990345490E-1,-9.697050095E0,1.426050067E0,1.858950138E0
3.015683030E-1,-9.676050186E0,1.459050059E0,1.873050094E0
3.041018440E-1,-9.621000290E0,1.471050024E0,1.852050066E0
3.066354570E-1,-9.604050636E0,1.477950096E0,1.854000092E0
3.091692260E-1,-9.556050301E0,1.510050058E0,1.873050094E0
3.117028630E-1,-9.580050468E0,1.522050023E0,1.878000140E0
3.142364010E-1,-9.586950302E0,1.537950039E0,1.861050129E0
3.167701680E-1,-9.604050636E0,1.576950073E0,1.818000078E0
3.193037860E-1,-9.646950722E0,1.573950052E0,1.798950076E0
3.218375920E-1,-9.622950554E0,1.567050099E0,1.834950089E0
3.243711330E-1,-9.625050545E0,1.591050029E0,1.795950055E0
3.269047460E-1,-9.604050636E0,1.612950087E0,1.780050039E0
3.294385150E-1,-9.562950134E0,1.629000068E0,1.758000135E0
3.319721040E-1,-9.550950050E0,1.644000053E0,1.660050035E0
3.345056420E-1,-9.537000656E0,1.657950044E0,1.567050099E0
3.370394090E-1,-9.508050919E0,1.620000124E0,1.576050043E0
3.395730270E-1,-9.481950760E0,1.624950051E0,1.588050127E0
3.421067800E-1,-9.501000404E0,1.665000081E0,1.614000082E0
3.446403200E-1,-9.556050301E0,1.699050069E0,1.606950045E0
3.471739340E-1,-9.640050888E0,1.747050047E0,1.449000120E0
3.497077030E-1,-9.721050262E0,1.780050039E0,1.351050019E0
3.522412430E-1,-9.754950523E0,1.753950119E0,1.308000088E0
3.547748570E-1,-9.733050346E0,1.708050132E0,1.339050055E0
3.573086260E-1,-9.693000793E0,1.725000024E0,1.408050060E0
3.598422430E-1,-9.610950470E0,1.740000129E0,1.447050095E0
3.623759820E-1,-9.526950836E0,1.753950119E0,1.461000085E0
3.649095220E-1,-9.466950417E0,1.761000037E0,1.441950083E0
3.674431360E-1,-9.403050423E0,1.741950035E0,1.456050038E0
3.699769050E-1,-9.388050079E0,1.761000037E0,1.461000085E0
3.725104590E-1,-9.307050705E0,1.785000086E0,1.521000028E0
3.750440730E-1,-9.288000107E0,1.756050110E0,1.558950067E0
3.775778420E-1,-9.252000809E0,1.771050096E0,1.576050043E0
3.801114590E-1,-9.264000893E0,1.762950063E0,1.570950031E0
3.826450120E-1,-9.211050034E0,1.777950048E0,1.588050127E0
3.851787790E-1,-9.163050652E0,1.756050110E0,1.614000082E0
3.877123960E-1,-9.145950317E0,1.761000037E0,1.636050105E0
3.902461640E-1,-9.130050659E0,1.798950076E0,1.650000095E0
3.927796850E-1,-9.111000061E0,1.798950076E0,1.666950107E0
3.953132980E-1,-9.094050407E0,1.822950125E0,1.654950023E0
3.978470680E-1,-9.079050064E0,1.854000092E0,1.642950058E0
4.003806080E-1,-9.087000847E0,1.918950081E0,1.705050111E0
4.029142410E-1,-9.048000336E0,1.936050057E0,1.677000046E0
4.054480100E-1,-9.040950775E0,1.929000139E0,1.690950036E0
4.079816270E-1,-9.052950859E0,1.969050050E0,1.696050048E0
4.105151660E-1,-9.019950867E0,1.957050085E0,1.714950085E0
4.130489430E-1,-8.988000870E0,1.929000139E0,1.720050097E0
4.155825600E-1,-8.967000008E0,1.912050128E0,1.698000073E0
4.181163280E-1,-8.940000534E0,1.837950110E0,1.677000046E0
4.206499450E-1,-8.923950195E0,1.795050144E0,1.705050111E0
4.231834640E-1,-8.907000542E0,1.894950032E0,1.701000094E0
4.257172320E-1,-8.866050720E0,2.022000074E0,1.689000130E0
4.282508490E-1,-8.835000038E0,2.101050138E0,1.734000087E0
4.307843870E-1,-8.803950310E0,2.187000036E0,1.842000127E0
4.333181550E-1,-8.787000656E0,2.242050171E0,1.890000105E0
4.358517720E-1,-8.789999962E0,2.293050051E0,1.950000048E0
4.383853110E-1,-8.809050560E0,2.310000181E0,2.155950069E0
4.409190780E-1,-8.854050636E0,2.274000168E0,2.308950186E0
4.434527280E-1,-8.859000206E0,2.254050016E0,2.497950077E0
4.459864950E-1,-8.821050644E0,2.202000141E0,2.613000154E0
4.485201130E-1,-8.802000046E0,2.182950020E0,2.674950123E0
4.510536510E-1,-8.751000404E0,2.185050011E0,2.746950150E0
4.535874000E-1,-8.722949982E0,2.178000212E0,2.733000040E0
4.561210170E-1,-8.715000153E0,2.190000057E0,2.707050085E0
4.586545550E-1,-8.706000328E0,2.151000023E0,2.584050179E0
4.611883230E-1,-8.766000748E0,2.190000057E0,2.497950077E0
4.637219540E-1,-8.799000740E0,2.213999987E0,2.521950006E0
4.662557210E-1,-8.940000534E0,2.235000134E0,2.496000051E0
4.687892620E-1,-9.111000061E0,2.213999987E0,2.401950121E0
4.713228750E-1,-9.160950661E0,2.199000120E0,2.599050045E0
4.738566300E-1,-9.319050789E0,2.155950069E0,2.731050014E0
4.763902480E-1,-9.517950058E0,2.127000093E0,2.208000183E0
4.789237860E-1,-9.538950920E0,2.151000023E0,2.263950109E0
4.814575530E-1,-9.562950134E0,2.130000114E0,2.368950129E0
4.839911520E-1,-9.580050468E0,2.022000074E0,2.122050047E0
4.865246900E-1,-9.477000237E0,1.921950102E0,2.098050117E0
4.890584580E-1,-9.403050423E0,1.869000077E0,2.179949999E0
4.915920750E-1,-9.309000015E0,1.809000134E0,2.187000036E0
