"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.508951800E-1,8.538749814E-2,-3.575000167E-2,-3.011249937E-2
2.534289470E-1,8.428750187E-2,-4.207500070E-2,-3.011249937E-2
2.559625650E-1,8.222500235E-2,-4.743750021E-2,-2.914999984E-2
2.584961030E-1,8.112499863E-2,-5.486249924E-2,-2.584999986E-2
2.610298760E-1,7.892499864E-2,-6.022499874E-2,-3.011249937E-2
2.635634930E-1,8.002500236E-2,-6.132499874E-2,-3.231250122E-2
2.660970310E-1,8.002500236E-2,-6.558749825E-2,-3.121249937E-2
2.686307990E-1,7.686249912E-2,-6.655000150E-2,-3.437500075E-2
2.711644010E-1,7.576250285E-2,-6.984999776E-2,-3.657500073E-2
2.736979400E-1,7.466249913E-2,-6.875000149E-2,-3.863750026E-2
2.762317070E-1,7.150000334E-2,-7.081250101E-2,-4.826249927E-2
2.787653240E-1,6.723749638E-2,-7.507500052E-2,-5.788749829E-2
2.812990770E-1,6.627500057E-2,-6.984999776E-2,-6.311249733E-2
2.838326950E-1,6.297499686E-2,-7.301250100E-2,-7.163749635E-2
2.863662330E-1,6.627500057E-2,-7.411249727E-2,-7.479999959E-2
2.889000010E-1,6.627500057E-2,-7.301250100E-2,-7.809999585E-2
2.914336280E-1,6.627500057E-2,-7.081250101E-2,-7.906249911E-2
2.939673950E-1,6.407500058E-2,-7.081250101E-2,-8.442500234E-2
2.965009360E-1,6.517499685E-2,-7.081250101E-2,-8.758749813E-2
2.990345490E-1,6.723749638E-2,-6.764999777E-2,-8.978749812E-2
3.015683030E-1,6.833750010E-2,-6.764999777E-2,-9.075000137E-2
3.041018440E-1,6.627500057E-2,-6.875000149E-2,-9.075000137E-2
3.066354570E-1,6.943749636E-2,-6.875000149E-2,-9.721250087E-2
3.091692260E-1,6.943749636E-2,-6.655000150E-2,-1.003749967E-1
3.117028630E-1,6.723749638E-2,-6.132499874E-2,-9.831249714E-2
3.142364010E-1,7.053750008E-2,-5.596249923E-2,-1.035374999E-1
3.167701680E-1,7.259999961E-2,-5.169999972E-2,-1.025749967E-1
3.193037860E-1,7.576250285E-2,-4.317500070E-2,-9.831249714E-2
3.218375920E-1,7.796250284E-2,-4.001250118E-2,-9.721250087E-2
3.243711330E-1,7.796250284E-2,-3.355000168E-2,-8.868750185E-2
3.269047460E-1,8.428750187E-2,-2.612499893E-2,-8.332499862E-2
3.294385150E-1,8.855000138E-2,-1.759999990E-2,-8.126249909E-2
3.319721040E-1,8.855000138E-2,-1.237499993E-2,-7.906249911E-2
3.345056420E-1,8.855000138E-2,-1.017499994E-2,-7.590000331E-2
3.370394090E-1,9.075000137E-2,-1.127499994E-2,-6.957499683E-2
3.395730270E-1,9.281250089E-2,-1.017499994E-2,-6.201250106E-2
3.421067800E-1,9.281250089E-2,-1.017499994E-2,-5.788749829E-2
3.446403200E-1,9.391249716E-2,-1.663750038E-2,-5.252499878E-2
3.471739340E-1,8.964999765E-2,-2.832499892E-2,-4.179999977E-2
3.497077030E-1,8.648750186E-2,-3.891250119E-2,-2.584999986E-2
3.522412430E-1,8.744999766E-2,-4.853750020E-2,-1.416249946E-2
3.547748570E-1,7.686249912E-2,-5.059999973E-2,1.787499990E-3
3.573086260E-1,7.150000334E-2,-5.059999973E-2,1.567500085E-2
3.598422430E-1,7.150000334E-2,-4.111250117E-2,2.199999988E-2
3.623759820E-1,7.369999588E-2,-2.832499892E-2,3.052499890E-2
3.649095220E-1,7.259999961E-2,-1.553750038E-2,3.162499890E-2
3.674431360E-1,7.369999588E-2,-3.849999979E-3,3.368749842E-2
3.699769050E-1,7.259999961E-2,7.837500423E-3,3.478749841E-2
3.725104590E-1,7.259999961E-2,1.319999993E-2,3.368749842E-2
3.750440730E-1,7.466249913E-2,1.746249944E-2,3.478749841E-2
3.775778420E-1,7.576250285E-2,2.172499895E-2,3.684999794E-2
3.801114590E-1,7.686249912E-2,1.966249943E-2,3.478749841E-2
3.826450120E-1,8.002500236E-2,1.539999992E-2,3.368749842E-2
3.851787790E-1,8.538749814E-2,1.856249943E-2,3.162499890E-2
3.877123960E-1,8.964999765E-2,1.966249943E-2,2.832499892E-2
3.902461640E-1,9.501250088E-2,1.539999992E-2,2.832499892E-2
3.927796850E-1,9.817499667E-2,1.003750041E-2,2.626249939E-2
3.953132980E-1,1.033999994E-1,1.003750041E-2,2.626249939E-2
3.978470680E-1,1.087625027E-1,6.874999963E-3,2.626249939E-2
4.003806080E-1,1.152250022E-1,2.612499986E-3,2.406249940E-2
4.029142410E-1,1.247124970E-1,2.612499986E-3,2.406249940E-2
4.054480100E-1,1.354375035E-1,4.124999978E-4,2.516249940E-2
4.079816270E-1,1.428624988E-1,-5.912499968E-3,2.626249939E-2
4.105151660E-1,1.534499973E-1,-1.017499994E-2,2.516249940E-2
4.130489430E-1,1.641750038E-1,-9.074999951E-3,2.832499892E-2
4.155825600E-1,1.758625060E-1,-9.074999951E-3,2.516249940E-2
4.181163280E-1,1.907124966E-1,-1.017499994E-2,2.406249940E-2
4.206499450E-1,2.098249942E-1,-4.812499974E-3,2.199999988E-2
4.231834640E-1,2.268749923E-1,-1.649999991E-3,1.457499992E-2
4.257172320E-1,2.385624945E-1,7.837500423E-3,2.887499984E-3
4.282508490E-1,2.556124926E-1,1.746249944E-2,-1.306249946E-2
4.307843870E-1,2.748624980E-1,3.024999984E-2,-2.488750033E-2
4.333181550E-1,2.928749919E-1,4.083750024E-2,-4.399999976E-2
4.358517720E-1,3.110249937E-1,4.936249927E-2,-6.737499684E-2
4.383853110E-1,3.312374949E-1,5.266249925E-2,-8.648750186E-2
4.409190780E-1,3.492499888E-1,3.657500073E-2,-1.120624989E-1
4.434527280E-1,3.705624938E-1,2.488750033E-2,-1.313125044E-1
4.459864950E-1,3.993000090E-1,1.209999993E-2,-1.450625062E-1
4.485201130E-1,4.302375019E-1,-4.812499974E-3,-1.578499973E-1
4.510536510E-1,4.621374905E-1,-1.979999989E-2,-1.674750000E-1
4.535874000E-1,4.929375052E-1,-3.781250119E-2,-1.791625023E-1
4.561210170E-1,5.248374939E-1,-5.059999973E-2,-1.886499971E-1
4.586545550E-1,5.589374900E-1,-6.338749826E-2,-1.962125003E-1
4.611883230E-1,5.887749791E-1,-6.875000149E-2,-2.036374956E-1
4.637219540E-1,6.153125167E-1,-7.081250101E-2,-2.121624947E-1
4.662557210E-1,6.462500095E-1,-7.823749632E-2,-2.164250016E-1
4.687892620E-1,6.696249843E-1,-7.727500051E-2,-2.153249979E-1
4.713228750E-1,6.919000149E-1,-8.153750002E-2,-2.110625058E-1
4.738566300E-1,7.079874873E-1,-1.112374961E-1,-2.025374919E-1
4.763902480E-1,7.387874722E-1,-1.357125044E-1,-1.971749961E-1
4.789237860E-1,7.664250135E-1,-1.049124971E-1,-1.865874976E-1
4.814575530E-1,7.781124711E-1,-9.638749808E-2,-1.737999916E-1
4.839911520E-1,7.930999994E-1,-1.080750003E-1,-1.621125042E-1
4.865246900E-1,8.047875166E-1,-1.006499976E-1,-1.557874978E-1
4.890584580E-1,8.133124709E-1,-1.017500013E-1,-1.524875015E-1
4.915920750E-1,8.260999918E-1,-1.060125008E-1,-1.567499936E-1
4.941258660E-1,8.398500085E-1,-1.038125008E-1,-1.610125005E-1
4.966594070E-1,8.526374698E-1,-1.027124971E-1,-1.684374958E-1
4.991930200E-1,8.622624874E-1,-1.187999994E-1,-1.834249943E-1
5.017267890E-1,8.717499971E-1,-1.453374922E-1,-1.971749961E-1
5.042603920E-1,8.782125115E-1,-1.644500047E-1,-2.110625058E-1
5.067941590E-1,8.835750222E-1,-1.996500045E-1,-2.301750034E-1
5.093276990E-1,8.920999765E-1,-2.369125038E-1,-2.451625019E-1
5.118613130E-1,8.952624798E-1,-2.815999985E-1,-2.685374916E-1
5.143950820E-1,8.920999765E-1,-3.454000056E-1,-2.993375063E-1
5.169286220E-1,8.760125041E-1,-4.050749838E-1,-3.345375061E-1
5.194622360E-1,8.568999767E-1,-4.412375093E-1,-3.749625087E-1
5.219960050E-1,8.260999918E-1,-4.497624934E-1,-4.175874889E-1
5.245296220E-1,7.845749855E-1,-4.262500107E-1,-4.632374942E-1
5.270631610E-1,7.249000072E-1,-3.975124955E-1,-5.069624782E-1
5.295969280E-1,6.568375230E-1,-3.687750101E-1,-5.484874845E-1
5.321305460E-1,5.897374749E-1,-3.294500113E-1,-5.750250220E-1
5.346643080E-1,5.163124800E-1,-2.943874896E-1,-5.931749940E-1
5.371978480E-1,4.408249855E-1,-2.645500004E-1,-5.995000005E-1
5.397314620E-1,3.759250045E-1,-2.443374991E-1,-5.889124870E-1
5.422652310E-1,3.238124847E-1,-2.252250016E-1,-5.707625151E-1
5.447987620E-1,2.822875082E-1,-2.081750035E-1,-5.462874770E-1
5.473323760E-1,2.503874898E-1,-1.942874938E-1,-5.143874884E-1
5.498661450E-1,2.290749997E-1,-1.846625060E-1,-4.760249853E-1
5.523996850E-1,2.194499969E-1,-1.836999953E-1,-4.377999902E-1
5.549335300E-1,2.140875012E-1,-1.815000027E-1,-3.962749839E-1
5.574670700E-1,2.109249979E-1,-1.889249980E-1,-3.568125069E-1
5.600006850E-1,2.098249942E-1,-2.017125040E-1,-3.195500076E-1
5.625344530E-1,2.140875012E-1,-2.144999951E-1,-2.887499928E-1
5.650679970E-1,2.162874937E-1,-2.315499932E-1,-2.589125037E-1
5.676016110E-1,2.183499932E-1,-2.421374917E-1,-2.377374917E-1
5.701353800E-1,2.216500044E-1,-2.528625131E-1,-2.195875049E-1
5.726689970E-1,2.248124927E-1,-2.623499930E-1,-2.056999952E-1
5.752025160E-1,2.248124927E-1,-2.741749883E-1,-1.971749961E-1
5.777362830E-1,2.226125002E-1,-2.953499854E-1,-1.908500046E-1
5.802699000E-1,2.259124964E-1,-3.155624866E-1,-1.886499971E-1
5.828036680E-1,2.216500044E-1,-3.326124847E-1,-1.929125041E-1
5.853373140E-1,2.183499932E-1,-3.507624865E-1,-1.919499934E-1
5.878708520E-1,2.120250016E-1,-3.752374947E-1,-1.897500008E-1
