"event","experiment time","system time","system time text"
"START",0.000000000E0,1698146583.795,"2023-10-24 16:53:03.795 UTC+05:30"
"PAUSE",1.435034810E2,1698146727.299,"2023-10-24 16:55:27.299 UTC+05:30"
